,cases,BandMaxSAT,BandMaxSAT_time,BandMaxSAT_v,BandMaxSAT_v_time,NuWLS,NuWLS_time,NuWLSV,NuWLSV_time,SATLike3.0,SATLike3.0_time,SATLike3.0_v,SATLike3.0_v_time,Loandra,Loandra_time,TT-OWI,TT-OWI_time,NuWLS_i,NuWLS_i_time,NuWLSV_s,NuWLSV_s_time
387,w_2023_generalized-ising_wt-IS6_5.0.5.0.0.5_softer_periodic.wcnf,113901691794070,0.15,114695245625924,163.22,113797656078081,2.64,113944733329243,79.25,114754343301488,194.82,114774224734186,0.13,117051660055435.0,40.84,114640628777965,32.0,113944733329243,20.7,113944733329243,68.38
388,w_2023_timetabling_wt-dds4.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,300,300,None,300,None,300,None,300
389,w_2023_shiftdesign_wt-limits-10-10_data-1_inst-137_30m.sm-extracted.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,16168436.0,123.45,16167552,118.0,None,300,None,300
390,w_2023_ParametricRBACMaintenance_mse20_wt-role_university_multiple_0.1_1.wcnf,60969,25.37,77823,294.25,58925,154.77,58399,265.49,61538,217.49,106853,264.6,67882.0,41.52,98512,26.0,59217,206.75,58399,242.5
391,w_2023_MinimumWeightDominatingSetProblem_wt-rgg_n_2_24_s0.wcnf,None,300,54514898,188.01,None,300,None,300,None,300,54514898,211.4,300,300,None,300,None,300,None,300
392,w_2023_setcover_wt-rail2536.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,1537.0,43.58,1121,26.0,None,300,None,300
393,w_2023_decision-tree-tic-tac-toe-un-formula_0.8_2021_atleast_15_max-3_reduced_incomplete_adaboost_2.wcnf,326,32.54,307,188.65,335,14.74,335,0.48,326,274.71,302,53.83,289.0,8.59,239,140.0,333,279.81,335,0.46
394,w_2023_causal-discovery_wt-causal_Link_10_10000.wcnf,None,300,257745134,24.64,257745134,23.1,257745134,14.85,None,300,None,300,24682667.0,298.99,3948771,26.0,257745134,15.01,257745134,15.32
395,w_2023_abstraction-refinement_wt-polysite-hsqldb.wcnf,None,300,172413,197.45,172555,148.77,172555,133.99,172590,295.26,172570,192.34,175624.0,100.83,172385,267.0,172545,171.52,172555,121.92
396,w_2023_switchingactivitymaximization-SwitchingActivityMaximization_OpenRISC1200_90.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,26.0,146.31,32,223.0,None,300,None,300
397,w_2023_spot5_wt-1403.wcsp.dir.wcnf,459253,59.65,463247,59.59,459246,6.38,459247,0.36,467240,207.11,466248,72.77,463256.0,67.14,471267,15.0,459247,1.67,459246,186.29
398,w_2023_shiftdesign_wt-limits-10-10_data-2_inst-003_30m.sm-extracted.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,30012169.0,208.75,29513968,300.0,None,300,None,300
399,w_2023_ParametricRBACMaintenance_mse20_wt-role_university_multiple_0.4_7.wcnf,395285,10.6,313451,289.36,199523,263.99,218307,34.78,201001,296.73,186512,220.39,171409.0,99.46,175034,262.0,190785,246.89,215862,288.7
400,w_2023_setcover_wt-rail4284.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,2302.0,42.31,1730,22.0,None,300,None,300
401,w_2023_ramsey_wt-ram_k3_n14.ra1.wcnf,3025,32.84,3025,146.19,3025,0.82,3025,0.88,3025,25.39,3025,23.47,4292.0,58.64,3351,5.0,3025,1.63,3025,0.81
402,w_2023_MinimumWeightDominatingSetProblem_wt-channel-500x100x100-b050.wcnf,33348213,65.57,33348213,54.1,33348213,62.68,26451060,215.63,33347966,66.05,33348213,50.4,44147481.0,117.08,43145889,192.0,26463663,212.33,26451060,237.84
403,w_2023_hs-timetabling_wt-BrazilInstance2.xml.wcnf,295,4.94,268,61.49,187,219.23,147,93.21,264,130.08,285,205.93,8.0,233.56,5,108.0,184,30.15,150,39.64
404,w_2023_decision-tree-primary-tumor-un-formula_0.8_2021_atleast_127_max-6_reduced_incomplete_adaboost_2.wcnf,110,49.65,101,159.4,110,52.64,117,7.65,100,278.76,101,265.32,53.0,281.92,115,27.0,113,11.76,110,154.46
405,w_2023_shiftdesign_wt-limits-10-10_data-1_inst-084_30m.sm-extracted.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,29212761.0,222.43,28414682,299.0,None,300,None,300
406,w_2023_hs-timetabling_wt-BrazilInstance6.xml.wcnf,None,300,665,44.46,556,222.5,532,8.28,None,300,None,300,55.0,283.97,85,211.0,543,14.24,532,8.24
407,w_2023_setcover_wt-rail4872.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,2917.0,40.53,2353,19.0,None,300,None,300
408,w_2023_correlation-clustering_wt-Rounded_CorrelationClustering_Protein2_BINARY_N240.wcnf,16976519,40.03,16026123,24.65,16126167,33.24,16074260,89.0,16433790,245.93,16068058,185.11,16203241.0,202.39,16525269,3.0,16073574,265.99,16120682,195.12
409,w_2023_spot5_wt-1401.wcsp.log.wcnf,461100,41.78,462106,258.8,459106,0.61,459106,0.84,467102,273.62,467099,2.04,463110.0,37.26,476114,30.0,459106,0.71,459106,0.79
410,w_2023_generalized-ising_wt-IS15_5.0.5.0.0.5_softer_periodic.wcnf,115045216279055,0.09,114897602498751,168.16,114671051464862,0.11,114658059944605,0.18,114908340027821,200.87,114658059944650,175.61,116421613218194.0,0.88,115103391539244,27.0,114658059944605,0.1,114658059944605,0.15
411,w_2023_ParametricRBACMaintenance_mse20_wt-role_university_multiple_0.5_4.wcnf,375030,6.73,331569,291.2,203534,168.3,202193,110.4,217093,252.26,350607,192.75,219074.0,79.47,211652,28.0,202345,265.55,202193,119.66
412,w_2023_switchingactivitymaximization-SwitchingActivityMaximization_OpenRISC1200_66.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,6.0,156.37,4,76.0,None,300,None,300
413,w_2023_switchingactivitymaximization-SwitchingActivityMaximization_OpenRISC1200_150.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,89.0,277.53,80,235.0,None,300,None,300
414,w_2023_decision-tree-tic-tac-toe-un-formula_0.8_2021_atleast_15_max-3_reduced_incomplete_adaboost_3.wcnf,415,8.78,388,152.88,419,9.78,443,1.29,381,14.75,385,184.4,357.0,6.39,413,7.0,443,0.55,429,119.1
415,w_2023_timetabling_wt-comp12.wcnf,1133,37.83,818,171.13,548,288.88,517,218.39,1117,123.31,995,52.89,397.0,213.63,644,49.0,514,145.1,533,162.06
416,w_2023_tcp_wt-tcp_students_112_it_2.wcnf,3774,34.33,3660,157.25,3735,73.93,3702,98.05,3663,233.06,3660,64.11,3585.0,40.97,3585,20.0,3699,186.63,3702,88.37
417,w_2023_MinimumWeightDominatingSetProblem_wt-delaunay_n24.wcnf,276432528,165.78,276432528,129.82,None,300,276432528,192.31,276432528,139.52,276432528,101.58,300,300,338841619,255.0,276432528,259.65,276432528,165.55
418,w_2023_generalized-ising_wt-IS22_5.0.5.0.0.5_softer_periodic.wcnf,119889660278694,0.09,119196881071300,183.43,119042619292190,93.32,119108436533633,0.07,119475557156375,0.06,119435216776851,0.08,119401387482250.0,1.11,119401387482250,15.0,119042619292190,264.92,119108436533633,0.07
419,w_2023_staff-scheduling_wt-instance9.wcnf,2429,47.34,1408,22.46,2096,167.78,2262,202.41,2335,114.81,1538,52.42,759.0,161.21,809,193.0,1967,198.62,2249,264.3
420,w_2023_generalized-ising_wt-IS17_5.0.5.0.0.5_softer_periodic.wcnf,115986568985364,0.27,115935397409413,184.42,115905412142119,53.89,115902780531937,44.35,115921265477842,234.73,115937524318022,170.89,117981613218194.0,0.99,116347283775697,10.0,115902780531937,0.32,115902780531937,39.1
421,w_2023_hs-timetabling_wt-BrazilInstance7.xml.wcnf,None,300,None,300,809,260.43,853,266.76,None,300,None,300,151.0,288.15,153,164.0,892,250.96,872,128.16
422,w_2023_ParametricRBACMaintenance_mse20_wt-role_domino_multiple_0.1_8.wcnf,38728,24.95,54980,291.08,38704,97.11,39082,215.79,48560,185.43,39792,278.03,47922.0,37.43,51502,231.0,38820,169.24,39082,215.82
423,w_2023_hs-timetabling_wt-BrazilInstance4.xml.wcnf,None,300,None,300,239,93.26,None,300,None,300,None,300,79.0,233.74,89,37.0,None,300,None,300
424,w_2023_generalized-ising_wt-IS13_5.0.5.0.0.5_softer_periodic.wcnf,121209213874522,0.1,119401387482250,0.07,119401387482250,0.07,119401387482250,0.07,119595557156375,0.12,119555216776851,0.08,119401387482250.0,0.99,119401387482250,7.0,119401387482250,0.08,119401387482250,0.07
425,w_2023_judgment-aggregation-ja-kemeny-preflib-00049-00000454.wcnf,671,48.63,694,200.74,631,127.44,632,107.98,653,25.38,659,58.49,647.0,17.73,692,12.0,632,57.26,632,118.38
426,w_2023_shiftdesign_wt-limits-10-10_data-3_inst-003_30m.sm-extracted.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,24658614.0,261.21,24657583,175.0,None,300,None,300
427,w_2023_causal-discovery_wt-causal_alarm_9_1000.wcnf,13804978,2.24,13804978,1.52,34116796,14.9,27550545,80.87,57974705,8.33,57974705,6.68,1233992.0,246.25,1233992,10.0,9574187,262.93,27616647,255.89
428,w_2023_metro_wt-metro_8_8_5_20_10_6_500_1_3.lp.sm-extracted.wcnf,289,9.14,148,267.02,182,139.15,163,157.8,169,76.35,175,255.56,138.0,28.13,138,15.0,170,133.93,194,272.35
429,w_2023_judgment-aggregation-ja-kemeny-preflib-00049-00000334.wcnf,549,5.69,581,251.98,543,16.59,542,29.76,578,259.67,545,194.72,579.0,53.98,603,7.0,542,35.73,542,30.61
430,w_2023_railway-transport_wt-r11.wcnf,None,300,54796642,222.61,53717925,139.34,52882190,232.29,54591703,244.86,54641726,293.81,72182289.0,95.46,48818149,213.0,54951510,166.86,52882190,195.5
431,w_2023_abstraction-refinement_wt-polysite-bloat.wcnf,None,300,59,192.92,184,246.63,178,267.41,189,204.75,160,282.93,2397.0,131.61,55,278.0,175,273.77,178,276.45
432,w_2023_setcover_wt-rail507.wcnf,207,45.87,210,228.84,219,246.35,194,281.96,241,272.01,245,4.71,247.0,31.5,252,39.0,188,264.45,192,298.73
433,w_2023_ramsey_wt-ram_k3_n16.ra1.wcnf,7271,34.52,8023,75.49,7271,34.74,7271,1.37,7271,62.09,8080,19.66,10830.0,56.05,9170,4.0,7271,0.17,7271,1.26
434,w_2023_abstraction-refinement_wt-downcast-xalan.wcnf,None,300,65508,151.9,65528,203.42,65533,205.81,65537,277.75,65525,165.15,67710.0,74.93,65498,242.0,65533,93.5,65530,149.98
435,w_2023_decision-tree-anneal-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_5.wcnf,779,6.82,779,23.02,738,108.0,713,48.96,691,140.44,684,295.7,499.0,94.12,723,35.0,736,268.56,713,48.37
436,w_2023_decision-tree-heart-cleveland-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_4.wcnf,137,42.14,136,11.51,146,2.15,146,1.62,128,153.51,127,273.12,83.0,106.45,122,53.0,136,128.98,146,1.83
437,w_2023_correlation-clustering_wt-Rounded_CorrelationClustering_Protein1_UNARY_N290.wcnf,77468903,8.98,38510380,46.13,20963650,183.94,20334248,136.48,36294854,61.99,33709942,43.57,26324735.0,221.97,19239945,23.0,18808833,192.89,20268716,258.33
438,w_2023_decision-tree-primary-tumor-un-formula_0.8_2021_atleast_63_max-5_reduced_incomplete_adaboost_6.wcnf,312,21.92,306,70.3,338,15.72,333,67.84,307,5.6,299,135.74,255.0,79.4,315,10.0,323,82.65,338,1.83
439,w_2023_max-realizability_wt-robot-navigation_10.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,14.0,59.44,14,92.0,None,300,None,300
440,w_2023_shiftdesign_wt-limits-10-10_data-1_inst-182_30m.sm-extracted.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,15345708.0,174.12,14625180,203.0,None,300,None,300
441,w_2023_staff-scheduling_wt-instance10.wcnf,6839,52.12,4908,257.45,5447,98.47,6535,33.94,6335,221.14,5476,298.37,5649.0,243.05,5399,295.0,6781,23.77,6479,137.9
442,w_2023_staff-scheduling_wt-instance12.wcnf,8088,52.09,4805,203.1,6759,69.66,7250,263.69,7780,104.89,4946,197.78,5529.0,232.69,9290,144.0,7294,287.16,7397,238.01
443,w_2023_decision-tree-australian-credit-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_5.wcnf,575,24.26,575,4.97,575,4.54,575,16.04,541,47.56,531,183.25,369.0,248.6,516,7.0,575,8.5,517,248.55
444,w_2023_hs-timetabling_wt-BrazilInstance5.xml.wcnf,None,300,None,300,462,108.02,465,12.67,None,300,None,300,25.0,228.69,39,216.0,456,28.08,447,175.26
445,w_2023_staff-scheduling_wt-instance4.wcnf,1738,38.1,1742,8.86,1727,192.78,1723,185.63,1855,151.95,1724,278.67,1793.0,27.7,1747,7.0,1730,274.04,1727,46.2
446,w_2023_switchingactivitymaximization-SwitchingActivityMaximization_OpenRISC1200_80.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,26.0,254.14,26,153.0,None,300,None,300
447,w_2023_generalized-ising_wt-IS12_5.0.5.0.0.5_softer_periodic.wcnf,113171111838535,0.11,113186775360359,173.61,113171466486232,0.21,113171466486232,0.09,113281196769816,197.38,113269020725005,187.71,114861613218194.0,0.95,114434005522510,3.0,113171466486232,0.87,113171466486232,0.1
448,w_2023_MinimumWeightDominatingSetProblem_wt-soc-livejournal-user-groups.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,300,300,133639981,236.0,None,300,None,300
449,w_2023_spot5_wt-1403.wcsp.log.wcnf,459247,52.79,466241,1.73,459246,40.14,459246,21.87,470244,229.43,466240,6.93,465270.0,1.22,476258,3.0,459246,26.16,459246,161.74
