,cases,BandMaxSAT,BandMaxSAT_time,BandMaxSAT_v,BandMaxSAT_v_time,NuWLS,NuWLS_time,NuWLSV,NuWLSV_time,SATLike3.0,SATLike3.0_time,SATLike3.0_v,SATLike3.0_v_time,Loandra,Loandra_time,TT-OWI,TT-OWI_time,NuWLS_i,NuWLS_i_time,NuWLSV_s,NuWLSV_s_time
480,w_2023_MaxSATQueriesinInterpretableClassifiers_wt-pima_train_6_CNF_3_20.wcnf,3276,48.94,2801,252.13,2758,51.01,2757,159.5,2839,230.04,2777,253.57,2760.0,9.93,2757,51.0,2757,24.1,2757,140.21
481,w_2023_ParametricRBACMaintenance_mse20_wt-role_smallcomp_multiple_0.8_1.wcnf,351015,17.44,349408,161.33,350239,68.85,350406,251.48,350738,12.87,349685,153.32,368256.0,0.1,356005,5.0,350738,181.74,350406,226.7
482,w_2023_correlation-clustering_wt-Rounded_CorrelationClustering_Protein2_UNARY_N220.wcnf,78906089,5.35,14510810,133.12,14050838,79.57,14022996,81.76,19791903,30.79,26571657,18.3,14988495.0,280.11,14298631,25.0,14465473,138.67,14262666,200.76
483,w_2023_spot5_wt-1405.wcsp.dir.wcnf,464445,37.78,461426,164.01,459416,19.28,459416,7.62,463444,177.69,459429,276.75,463426.0,28.48,477447,12.0,459418,258.83,459416,6.14
484,w_2023_timetabling_wt-comp09.wcnf,313,41.32,116,155.35,141,30.22,136,90.45,296,49.86,221,39.51,96.0,38.19,114,37.0,135,52.32,139,74.78
485,w_2023_causal-discovery_wt-causal_Link_9_100.wcnf,3242187,2.52,3242187,1.37,1947767,138.3,2125991,41.93,3242187,1.66,3242187,1.39,1539490.0,256.04,3654727,8.0,2083825,45.66,2125991,39.26
486,w_2023_staff-scheduling_wt-instance3.wcnf,1018,19.71,1008,83.16,1019,98.94,1015,109.81,1043,72.28,1013,204.97,1026.0,4.3,1011,16.0,1025,33.37,1018,296.16
487,w_2023_switchingactivitymaximization-SwitchingActivityMaximization_OpenRISC1200_72.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,2.0,215.32,22,79.0,None,300,None,300
488,w_2023_timetabling_wt-comp02.wcnf,487,23.84,114,94.52,104,150.91,108,85.85,243,153.99,170,145.07,32.0,157.79,24,64.0,113,228.32,123,17.43
489,w_2023_staff-scheduling_wt-instance2.wcnf,839,22.48,923,216.46,832,39.88,832,46.11,840,33.91,828,104.23,828.0,297.44,828,161.0,834,145.04,831,14.93
490,w_2023_abstraction-refinement_wt-polysite-xalan.wcnf,None,300,114664,212.38,114714,193.13,114706,233.1,114768,274.59,114726,180.96,117742.0,83.22,114646,298.0,114733,269.12,114708,127.23
491,w_2023_generalized-ising_wt-IS3_5.0.5.0.0.5_softer_periodic.wcnf,117011292650364,0.09,117410272196423,233.98,116826632937862,2.85,116825198407445,3.31,117351809315182,0.07,117818173215824,293.56,119401387482250.0,0.95,117560958266492,31.0,116825198407457,23.58,116825198407445,3.22
492,w_2023_ParametricRBACMaintenance_mse20_wt-role_university_multiple_0.5_5.wcnf,388658,7.77,314598,190.61,187582,65.63,187552,123.83,182264,169.38,185732,269.26,189974.0,103.73,185890,100.0,182756,222.33,187552,129.37
493,w_2023_decision-tree-tic-tac-toe-un-formula_0.8_2021_atleast_31_max-4_reduced_incomplete_adaboost_2.wcnf,268,54.91,266,42.47,286,1.16,286,0.82,272,56.77,249,125.94,189.0,184.0,205,299.0,286,0.76,286,0.79
494,w_2023_staff-scheduling_wt-instance5.wcnf,1580,22.75,1558,200.28,1396,61.29,1304,223.25,1388,43.39,1356,154.92,1224.0,33.38,1201,34.0,1306,184.15,1384,209.6
495,w_2023_ParametricRBACMaintenance_mse20_wt-role_domino_multiple_0.5_1.wcnf,142663,53.99,192794,256.72,142537,253.91,142716,130.89,142803,137.45,142784,200.19,153535.0,53.04,148846,259.0,142722,66.76,142716,123.84
496,w_2023_correlation-clustering_wt-Rounded_CorrelationClustering_Protein3_UNARY_N220.wcnf,75083680,5.22,29735994,19.98,14955709,86.64,14918817,80.77,27132874,22.8,28071316,20.37,15753124.0,282.58,15907356,52.0,15308664,87.13,14918817,83.33
497,w_2023_railway-transport_wt-bf2030fvslack.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,280619.0,115.06,245735,211.0,None,300,None,300
498,uw_2021_scpclr13_maxsat.wcnf,23,38.1,1232,0.13,24,8.76,23,7.83,30,5.1,1232,0.13,33.0,22.01,30,84.0,23,6.93,23,7.06
499,uw_2021_maxcut-140-630-0.7-6.wcnf,164,36.77,260,0.0,162,0.01,162,0.0,162,0.0,296,0.0,169.0,21.49,185,245.0,162,0.04,162,0.0
500,uw_2021_pesp_5min.wcnf,73,16.84,73,50.42,73,262.06,69,286.44,73,9.36,69,294.49,76.0,162.99,73,115.0,73,163.17,71,251.05
501,uw_2021_20-100-p100-49.wcnf,80,56.17,80,106.95,84,89.46,84,274.01,82,132.23,79,58.01,77.0,14.87,77,293.0,85,51.25,84,58.25
502,uw_2021_MinFill_R1_games120.wcnf,3113,3.93,3113,2.48,2305,218.13,2190,103.28,None,300,None,300,2374.0,287.39,1760,252.0,2051,68.49,2189,210.66
503,uw_2021_20-100-lambda100-96.wcnf,75,19.38,77,32.23,78,112.47,77,93.36,77,285.14,76,25.31,74.0,6.85,75,34.0,78,45.53,77,202.1
504,uw_2021_MultiDay_3.wcnf,163185,7.33,163185,4.89,155215,8.16,155239,6.47,163184,6.2,163185,4.71,162164.0,42.01,162438,12.0,155200,7.85,155239,7.58
505,uw_2021_GenHyperTW_uf20-099.wcnf,6,26.83,6,0.53,6,29.39,6,0.45,6,0.62,6,0.54,7.0,32.2,6,11.0,6,0.12,6,0.51
506,uw_2021_extension-enforcement_non-strict_stb_200_0.05_4_10_0.wcnf,9,51.86,7,5.8,9,233.6,9,268.02,7,68.95,6,99.53,16.0,44.21,8,289.0,13,152.51,9,233.61
507,uw_2021_maxcut-140-630-0.7-20.wcnf,170,0.0,271,0.0,168,0.04,168,0.01,168,0.03,296,0.0,177.0,80.4,188,273.0,168,0.03,168,0.01
508,uw_2021_rev66-18.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,15.0,53.98,15,7.0,None,300,None,300
509,uw_2021_GenHyperTW_par8-3-c.wcnf,20,28.97,10,164.13,8,108.31,8,143.82,14,72.89,12,275.02,10.0,241.48,15,231.0,8,190.82,8,112.68
510,uw_2021_formula_0.8_2021_atleast_31_max-4_reduced_incomplete_tree.wcnf,11,12.99,11,15.18,11,17.06,11,0.47,11,6.71,11,4.94,4.0,36.15,5,56.0,11,0.55,11,0.52
511,uw_2021_atcoss_mesat_04.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,30.0,168.96,32,260.0,None,300,None,300
512,uw_2021_rev66-20.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,13.0,181.33,13,81.0,None,300,None,300
513,uw_2021_GenHyperTW_pret60_25.wcnf,11,16.65,7,253.95,8,168.28,6,121.39,7,55.52,7,115.86,6.0,98.21,8,176.0,6,64.92,7,137.21
514,uw_2021_ms_200_16_20-0.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,126.0,299.68,84,98.0,None,300,None,300
515,uw_2021_maxcut-140-630-0.7-4.wcnf,168,39.18,280,0.0,167,0.23,167,0.24,167,0.0,287,0.0,177.0,3.23,189,191.0,167,0.0,167,0.23
516,uw_2021_20-100-frag12-91.wcnf,48,25.46,46,25.13,49,212.45,47,202.33,48,4.92,47,30.21,45.0,29.56,44,30.0,51,8.89,50,15.65
517,uw_2021_Subnetwork_9.wcnf,7903,13.95,7905,197.19,7903,24.89,7902,48.4,7907,142.16,7904,83.93,8171.0,3.68,8216,17.0,7902,79.31,7902,44.69
518,uw_2021_SingleDay_15.wcnf,26320,1.71,25462,269.24,25863,86.65,25492,207.58,25495,80.65,25462,74.36,26016.0,34.18,26131,4.0,25502,258.81,25507,214.24
519,uw_2021_maxcut-140-630-0.8-18.wcnf,168,0.02,274,0.0,163,0.0,163,0.01,163,0.0,281,0.0,179.0,3.6,187,53.0,163,0.0,163,0.01
520,uw_2021_brock200_3.clq.wcnf,214,0.0,263,0.0,214,0.0,214,0.0,214,0.0,248,0.0,216.0,13.61,219,6.0,214,0.0,214,0.0
521,uw_2021_mul_8_14.wcnf,60,8.64,56,139.69,56,87.87,56,131.16,62,12.5,56,8.09,110.0,2.44,108,4.0,56,175.96,56,151.54
522,uw_2021_navigation_5x5_8.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,300,300,None,300,None,300,None,300
523,uw_2021_scpcyc07_maxsat.wcnf,151,40.45,316,0.0,144,10.64,144,1.33,159,33.61,316,0.0,153.0,84.83,172,9.0,144,1.53,144,1.1
524,uw_2021_ms_200_12_20-3.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,154.0,274.28,104,228.0,None,300,None,300
525,uw_2021_ram_k3_n15.ra0.wcnf,30,0.0,61,0.0,30,0.0,30,0.0,30,0.0,60,0.0,30.0,23.3,30,7.0,30,0.0,30,0.0
526,uw_2021_uaq-ppr-nr200-nc66-n5-k2-rpp4-ppr13-plb100.wcnf,76,0.14,76,113.42,76,8.08,76,13.53,76,5.28,76,33.18,82.0,99.92,79,252.0,76,0.09,76,6.72
527,uw_2021_maxcut-140-630-0.7-28.wcnf,169,0.0,257,0.0,167,0.0,167,0.01,167,0.0,271,0.0,173.0,1.18,188,165.0,167,0.02,167,0.02
528,uw_2021_normalized-test4.pi.opb.msat.wcnf,96,2.85,94,153.36,97,50.03,99,31.97,116,107.02,112,84.22,144.0,1.83,156,154.0,97,66.52,99,26.9
529,uw_2021_ram_k3_n18.ra0.wcnf,60,0.01,149,0.0,60,0.14,60,0.02,60,0.02,122,0.01,63.0,16.57,62,3.0,60,0.08,60,0.01
530,uw_2021_formula_0.8_2021_atleast_127_max-6_reduced_incomplete_tree.wcnf,230,5.35,230,5.22,230,6.37,230,7.22,None,300,None,300,159.0,238.13,172,215.0,230,10.46,230,8.52
531,uw_2021_cellda_x_12.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,300,300,None,300,None,300,None,300
532,uw_2021_GenHyperTW_flat30-50.wcnf,65,8.06,20,102.96,19,213.69,20,199.6,22,238.29,22,178.31,33.0,257.33,33,132.0,20,23.06,22,154.56
533,uw_2021_data.135.wcnf,104,0.01,111,0.0,103,15.46,103,250.07,103,33.58,111,0.0,104.0,1.49,104,56.0,103,16.15,103,237.02
534,uw_2021_rev66-32.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,1.0,230.31,1,72.0,None,300,None,300
535,uw_2021_cellda_y_10.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,300,300,None,300,None,300,None,300
536,uw_2021_GenHyperTW_atv_partial_system.wcnf,50,10.49,11,150.92,9,143.05,8,112.12,7,46.1,7,36.82,7.0,124.07,7,50.0,10,121.08,10,80.61
537,uw_2021_formula_0.8_2021_atleast_15_max-3_reduced_incomplete_tree.wcnf,11,0.16,11,6.24,11,0.2,11,0.15,11,3.27,11,2.66,6.0,29.18,6,32.0,11,0.22,11,0.19
538,uw_2021_sysadmin_5_3.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,7.0,206.77,6,168.0,None,300,None,300
539,uw_2021_sbox_8.wcnf,810,224.82,563,263.88,454,234.33,446,216.57,556,279.28,519,223.95,621.0,297.32,808,227.0,455,210.58,446,240.23
540,uw_2021_MinFill_R0_miles1500.wcnf,2650,10.82,2650,5.03,2174,38.74,1818,179.59,None,300,None,300,2426.0,291.37,284,282.0,1842,178.14,1570,257.7
541,uw_2021_scpclr11_maxsat.wcnf,23,0.02,276,0.01,23,103.67,23,1.09,24,127.96,276,0.01,29.0,287.09,27,48.0,23,0.36,23,0.85
542,uw_2021_gen_add_6_991.wcnf,107,2.31,105,2.27,102,60.01,102,121.44,105,20.23,105,220.46,112.0,1.36,112,1.0,102,295.12,102,129.66
543,uw_2021_AMAZON.wcnf,70752,3.22,70752,2.82,48826,193.5,48904,156.42,None,300,None,300,68450.0,47.09,63979,21.0,48864,143.96,48904,142.11
544,uw_2021_atcoss_mesat_15.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,86.0,299.4,None,300,None,300,None,300
545,uw_2021_mul_8_11.wcnf,64,10.2,70,9.26,64,151.82,64,173.6,64,13.41,66,9.49,159.0,2.87,136,6.0,64,67.32,64,196.48
546,uw_2021_atcoss_mesat_02.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,50.0,72.88,50,152.0,None,300,None,300
547,uw_2021_ms_200_10_40-0.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,88.0,282.86,88,79.0,None,300,None,300
548,uw_2021_maxcut-140-630-0.7-12.wcnf,167,0.0,269,0.0,167,0.09,167,0.04,167,0.0,286,0.0,186.0,109.44,194,250.0,167,0.05,167,0.04
549,uw_2021_ram_k3_n13.ra0.wcnf,16,0.0,32,0.0,16,0.0,16,0.0,16,0.0,30,0.0,16.0,4.27,17,9.0,16,0.0,16,0.0
550,uw_2021_maxcut-140-630-0.8-39.wcnf,170,37.2,279,0.0,169,0.34,169,0.32,169,0.14,266,0.0,184.0,1.94,190,81.0,169,0.0,169,0.33
551,uw_2021_credit_train_1_DNF_3_1.wcnf,5631,0.93,5631,0.8,4803,248.03,4881,143.3,5624,0.84,4861,45.0,5699.0,276.44,19355,174.0,4866,158.33,4881,126.32
552,uw_2021_data.729.wcnf,647,19.59,665,0.08,617,27.87,617,3.22,643,259.71,665,0.07,649.0,33.24,654,11.0,617,14.46,617,2.94
553,uw_2021_mul_8_9.wcnf,42,4.58,42,3.75,42,31.56,42,32.51,45,41.09,42,4.05,81.0,1.83,80,4.0,42,60.03,42,31.86
554,uw_2021_ram_k3_n14.ra0.wcnf,21,0.0,48,0.0,21,0.0,21,0.0,21,0.0,45,0.0,21.0,1.11,22,10.0,21,0.0,21,0.0
555,uw_2021_navigation_5x5_10.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,300,300,None,300,None,300,None,300
556,uw_2021_DBLP.wcnf,80565,4.33,80565,3.77,61727,221.16,52945,259.64,80565,5.24,80565,3.57,68231.0,41.87,66289,9.0,52865,224.77,52945,267.88
557,uw_2021_extension-enforcement_non-strict_stb_200_0.1_4_10_2.wcnf,10,7.15,9,23.95,10,116.22,9,121.41,9,97.02,8,177.77,11.0,5.14,14,75.0,9,111.37,8,272.15
558,uw_2021_20-100-frag12-13.wcnf,46,50.79,44,267.66,48,138.18,47,65.42,47,54.0,46,64.65,42.0,100.87,42,197.0,49,5.29,48,43.23
559,uw_2021_atcoss_sugar_10.wcnf,None,300,110,119.93,None,300,90,181.39,None,300,None,300,16.0,80.71,16,18.0,98,72.72,90,292.59
560,uw_2021_ram_k3_n10.ra0.wcnf,4,0.0,6,0.0,4,0.0,4,0.0,4,0.0,4,0.0,4.0,0.73,4,1.0,4,0.0,4,0.0
561,uw_2021_TWComp_queen5_5_N25.wcnf,18,1.39,18,0.41,18,17.94,18,0.07,18,0.59,18,0.36,18.0,30.24,18,1.0,18,0.09,18,0.07
562,uw_2021_GenHyperTW_aim-50-3_4-yes1-3.wcnf,15,15.45,15,33.2,14,207.64,15,24.73,15,8.75,15,6.3,17.0,65.1,19,100.0,14,7.53,15,20.79
563,uw_2021_ram_k3_n19.ra0.wcnf,75,0.01,182,0.01,75,0.54,75,0.87,75,0.09,145,0.0,80.0,73.16,96,3.0,75,3.09,75,0.76
564,uw_2021_data.405.wcnf,341,1.8,357,0.02,337,5.84,336,4.23,342,1.92,357,0.03,346.0,0.93,347,223.0,336,19.42,336,3.93
565,uw_2021_haberman.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,371.0,173.11,383,138.0,None,300,None,300
566,uw_2021_ms_200_22_20-2.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,300,300,113,99.0,None,300,None,300
567,uw_2021_ram_k4_n18.ra0.wcnf,9,56.92,30,0.01,9,0.03,9,0.05,9,0.02,38,0.01,10.0,225.02,11,16.0,9,0.01,9,0.04
568,uw_2021_sysadmin_4_4.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,5.0,119.65,4,200.0,None,300,None,300
569,uw_2021_MultiDay_1.wcnf,81519,1.97,81519,1.41,73975,221.95,73953,158.35,81519,1.81,81518,1.53,78904.0,33.79,80623,3.0,73965,148.64,73953,144.71
570,uw_2021_SingleDay_3.wcnf,9450,43.92,9453,245.73,9449,32.63,9447,61.57,9455,163.98,9453,253.35,9738.0,7.76,9904,1.0,9448,117.16,9447,58.4
571,uw_2021_ms_200_20_20-6.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,300,300,67,122.0,None,300,None,300
572,uw_2021_ms_260_20_20-1.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,300,300,74,89.0,None,300,None,300
573,uw_2021_d4.wcnf,12244,38.92,12244,25.98,6671,246.89,5672,83.27,None,300,None,300,10970.0,66.82,3164,296.0,5877,67.94,5672,94.34
574,uw_2021_ram_k3_n12.ra0.wcnf,10,0.0,22,0.0,10,0.0,10,0.0,10,0.0,19,0.0,10.0,0.77,10,3.0,10,0.0,10,0.0
575,uw_2021_p_hat700-2.clq.wcnf,656,0.63,682,0.08,656,3.78,656,3.94,656,0.38,682,0.09,658.0,1.46,660,59.0,656,2.07,656,3.3
576,uw_2021_ram_k4_n20.ra0.wcnf,24,0.03,58,0.01,24,0.02,24,0.01,24,0.04,63,0.01,34.0,35.11,38,224.0,24,0.03,24,0.01
577,uw_2021_sysadmin_5_4.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,8.0,251.64,9,223.0,None,300,None,300
578,uw_2021_MultiDay_1_weighted.wcnf,81519,1.61,81519,1.41,73975,235.18,73953,141.75,81519,1.77,81518,1.4,78907.0,33.62,80623,4.0,73965,139.3,73953,159.79
579,uw_2021_Q34_OPTIONS_1.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,3.0,107.07,3,85.0,None,300,None,300
580,uw_2021_GenHyperTW_hole6.wcnf,7,7.75,7,17.36,7,20.14,7,2.66,7,3.04,7,2.11,14.0,69.19,14,300.0,7,2.29,7,2.42
581,uw_2021_p_hat1000-2.clq.wcnf,954,1.64,976,0.2,954,58.76,954,63.22,954,1.98,976,0.18,954.0,7.13,961,204.0,954,18.88,954,63.37
582,uw_2021_heart-c.wcnf,480,1.63,224,115.98,235,146.94,238,121.34,264,211.77,251,254.87,240.0,132.49,219,260.0,233,169.88,238,112.15
583,uw_2021_ram_k4_n19.ra0.wcnf,15,0.01,42,0.01,15,0.02,15,0.01,15,0.02,62,0.01,15.0,37.69,18,33.0,15,0.02,15,0.01
584,uw_2021_MinFill_R3_miles750.wcnf,3684,6.01,3684,3.5,2078,157.29,2100,3.12,None,300,None,300,484.0,277.33,749,258.0,1655,266.31,1921,281.42
585,uw_2021_MinFill_R0_myciel6.wcnf,822,57.9,785,158.39,804,90.23,784,120.02,781,286.42,780,160.91,753.0,77.93,824,117.0,781,47.14,761,152.8
586,uw_2021_MultiDay_4.wcnf,196301,9.29,196300,7.44,187823,13.12,187967,11.19,196301,10.36,196300,8.15,195470.0,45.95,195678,15.0,187963,12.04,187967,12.57
587,uw_2021_cnf_10.wcnf,241,1.43,117,18.35,124,271.43,122,183.97,144,59.8,129,110.56,50.0,275.0,50,209.0,119,213.33,121,287.77
588,uw_2021_maxcut-140-630-0.7-45.wcnf,168,0.0,277,0.0,168,0.15,168,0.0,168,0.01,277,0.0,173.0,0.97,208,276.0,168,0.18,168,0.0
589,uw_2021_Subnetwork_7.wcnf,6394,12.11,6395,237.28,6394,14.7,6393,15.82,6395,215.55,6393,166.67,6430.0,297.7,6722,12.0,6393,14.62,6393,15.45
590,uw_2021_atcoss_mesat_18.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,12.0,187.77,12,59.0,None,300,None,300
591,uw_2021_formula_0.8_2021_atleast_63_max-5_reduced_incomplete_tree.wcnf,11,1.97,11,1.77,10,40.56,11,1.91,11,7.34,11,5.17,1.0,232.2,1,19.0,11,2.19,11,1.98
592,uw_2021_mul_8_3.wcnf,36,2.37,38,1.93,36,12.31,36,15.54,37,9.28,36,2.01,44.0,1.24,45,2.0,36,9.52,36,13.05
593,uw_2021_GreeceWesternGreeceUniversityInstance4.xml.wcnf,195,2.41,195,1.17,157,21.29,151,196.39,None,300,None,300,17.0,269.64,23,284.0,143,140.41,154,106.34
594,uw_2021_TWComp_1c75_N69.wcnf,39,10.35,34,181.34,30,146.09,30,114.92,34,18.8,33,46.57,29.0,39.43,29,23.0,30,112.67,30,286.13
595,uw_2021_ms_160_20_20-0.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,300,300,79,126.0,None,300,None,300
596,uw_2021_ms_260_20_20-0.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,251.0,243.37,110,236.0,None,300,None,300
597,uw_2021_scpcyc11_maxsat.wcnf,4307,11.68,4335,3.0,4275,190.43,4173,175.14,4353,70.29,4330,217.26,5381.0,1.05,5159,169.0,4267,145.51,4173,169.22
598,uw_2021_hamming10-4.clq.wcnf,984,2.66,992,0.06,984,0.12,984,0.11,984,1.33,992,0.06,984.0,2.28,992,22.0,984,0.11,984,0.1
599,uw_2021_cnf_12.wcnf,129,27.02,106,80.25,123,9.97,115,102.87,119,200.23,120,199.13,62.0,151.22,62,48.0,121,166.27,111,64.64
600,uw_2021_rev66-24.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,9.0,51.0,9,26.0,None,300,None,300
601,uw_2021_20-100-frag12-85.wcnf,50,11.65,47,82.05,48,279.31,48,29.98,48,73.43,46,293.62,44.0,29.17,42,130.0,49,49.57,49,91.6
602,uw_2021_YOUTUBE.wcnf,110555,48.18,110555,16.59,92501,127.03,91856,259.91,110555,22.4,110555,16.78,110287.0,35.55,113618,21.0,92035,153.9,93900,196.46
603,uw_2021_rev66-22.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,11.0,39.88,11,57.0,None,300,None,300
604,uw_2021_rev66-16.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,17.0,19.46,17,5.0,None,300,None,300
605,uw_2021_scpcyc08_maxsat.wcnf,366,59.17,727,0.0,345,60.72,344,13.39,392,33.08,727,0.0,373.0,80.61,419,89.0,344,32.57,344,12.25
606,uw_2021_mul_8_13.wcnf,60,47.49,60,8.23,60,145.04,60,178.5,63,14.43,60,9.47,156.0,2.59,160,4.0,60,235.67,60,184.3
607,uw_2021_uaq-min-nr-nr50-np400-rpp5-nc0-rs0-t0-plb100-n9.wcnf,237,25.67,266,0.0,234,0.44,234,110.91,244,55.64,266,0.0,237.0,54.0,236,2.0,234,10.95,234,93.37
608,uw_2021_ram_k3_n11.ra0.wcnf,7,0.0,9,0.0,7,0.0,7,0.0,7,0.0,10,0.0,7.0,0.4,7,2.0,7,0.0,7,0.0
609,uw_2021_scpcyc10_maxsat.wcnf,1911,1.82,1925,1.89,1836,280.96,1836,139.96,1917,207.65,1914,261.48,2165.0,296.52,2302,61.0,1836,29.1,1836,130.81
610,uw_2021_MinFill_R0_queen5_5.wcnf,93,26.65,93,19.29,93,110.97,93,30.68,93,49.24,93,108.52,93.0,0.33,93,2.0,93,15.34,93,20.26
611,uw_2021_rev66-28.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,7.0,68.37,5,30.0,None,300,None,300
612,uw_2021_atcoss_sugar_05.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,20.0,92.37,13,16.0,None,300,None,300
613,uw_2021_g2_n35e34_n58e61.wcnf,21,0.42,23,0.02,21,0.33,21,1.34,21,0.11,28,0.02,21.0,0.82,21,1.0,21,0.2,21,1.22
614,uw_2021_scpcyc09_maxsat.wcnf,828,42.83,835,0.81,803,176.84,800,268.09,841,32.3,833,182.23,896.0,284.75,1023,11.0,801,232.86,800,261.48
615,uw_2021_spectre_min.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,300,300,None,300,None,300,None,300
616,uw_2021_GenHyperTW_clique_15.wcnf,11,24.84,12,7.99,11,66.89,10,132.47,11,254.65,11,72.26,11.0,185.65,8,37.0,11,46.65,10,84.61
617,uw_2021_MinFill_R0_queen9_9.wcnf,1874,1.13,1699,170.93,1729,53.99,1701,6.56,1687,227.8,1651,159.51,1640.0,162.38,1694,151.0,1719,273.5,1700,282.82
618,uw_2021_we.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,4598.0,70.92,383,300.0,None,300,None,300
619,uw_2021_atcoss_mesat_03.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,54.0,229.8,50,147.0,None,300,None,300
620,uw_2021_20-100-p100-54.wcnf,77,9.69,76,260.38,79,152.32,79,36.33,79,203.81,76,131.85,74.0,137.32,74,156.0,79,132.47,79,79.0
621,uw_2021_scpcyc06_maxsat.wcnf,61,10.2,122,0.0,60,0.0,60,0.01,61,20.74,122,0.0,62.0,1.18,60,25.0,60,0.0,60,0.01
622,uw_2021_pesp_18Min.wcnf,3385,4.73,320,254.73,545,258.19,441,72.49,354,34.12,295,223.79,378.0,172.9,703,287.0,336,224.84,441,65.26
623,uw_2021_20-100-lambda100-48.wcnf,74,54.28,75,115.28,76,233.54,76,238.93,76,236.75,75,2.0,74.0,1.73,74,73.0,75,67.89,76,269.77
624,uw_2021_scpclr12_maxsat.wcnf,23,0.9,593,0.03,23,3.12,23,0.28,26,289.34,593,0.04,29.0,13.23,29,11.0,23,1.44,23,0.27
625,uw_2021_cnf_small.wcnf,60,28.53,51,41.96,52,185.6,53,78.47,52,141.74,52,285.21,28.0,4.53,31,19.0,52,177.56,47,107.53
626,uw_2021_20-100-frag12-97.wcnf,46,55.68,48,40.59,49,198.05,47,284.94,48,51.72,47,165.13,42.0,123.52,42,201.0,50,43.72,48,183.21
627,uw_2021_data.243.wcnf,198,0.71,211,0.01,199,0.08,198,0.01,198,0.44,211,0.01,203.0,0.17,203,297.0,198,0.09,198,0.01
628,uw_2021_maxcut-140-630-0.8-26.wcnf,170,34.88,274,0.0,167,0.03,167,0.12,167,0.01,294,0.0,178.0,2.19,193,101.0,167,0.01,167,0.13
629,uw_2021_MinFill_R0_queen8_8.wcnf,1147,0.81,1021,21.69,1048,244.76,1032,146.4,None,300,None,300,959.0,64.1,985,24.0,1060,8.71,1036,211.93
630,uw_2021_TWComp_myciel5_N47.wcnf,21,15.96,19,231.28,19,15.69,19,65.03,19,172.49,19,6.3,19.0,56.76,19,2.0,19,6.58,19,49.25
631,uw_2021_maxcut-140-630-0.8-1.wcnf,168,44.17,293,0.0,165,0.03,165,0.0,165,0.01,297,0.0,178.0,1.22,181,49.0,165,0.02,165,0.0
632,uw_2021_navigation_5x5_9.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,300,300,None,300,None,300,None,300
633,uw_2021_meltdown_min.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,300,300,None,300,None,300,None,300
634,uw_2022_lam.20-100-frag12-56.wcnf,48,8.54,47,111.0,48,237.93,48,54.35,48,203.82,45,100.45,44.0,83.31,44,8.0,48,123.35,48,120.55
635,uw_2022_ran-scp.scpnre1_maxsat.wcnf,19,12.09,17,215.23,19,8.03,19,10.26,21,1.74,20,290.1,23.0,14.56,26,37.0,19,12.99,19,10.22
636,uw_2022_pesp_5min.wcnf,73,18.34,73,56.4,76,120.89,70,137.03,73,11.49,69,290.12,104.0,127.32,73,118.0,73,170.75,71,237.25
637,uw_2022_mes.atcoss_mesat_04.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,30.0,216.27,32,276.0,None,300,None,300
638,uw_2022_indo.wcnf,None,300,None,300,None,300,None,300,None,300,None,300,300,300,13,129.0,None,300,None,300
639,uw_2022_wb_4m8s-problem.dimacs_47.filtered.wcnf,43,31.1,51,14.42,34,97.64,34,62.78,39,145.08,38,292.95,3117.0,155.7,1570,299.0,33,140.12,32,121.23
